,FOLLOWERS,FOLLOWING,NUMBER OF TAGS,USERS IN PHOTO,VIDEO,TUE,WED,THU,FRI,SAT,SUN
406,296158,265,8,1,0,0,0,0,0,1,0
407,296158,265,6,1,0,0,0,0,0,0,1
408,296158,265,13,0,0,1,0,0,0,0,0
409,296158,265,5,3,0,0,0,0,1,0,0
410,296158,265,8,0,1,0,0,0,0,0,1
411,296158,265,4,5,0,0,0,0,0,0,1
412,296158,265,9,4,0,1,0,0,0,0,0
413,296158,265,9,2,0,0,0,0,0,1,0
414,296158,265,4,4,0,0,0,0,0,0,0
415,296158,265,5,1,0,0,0,1,0,0,0
416,296158,265,7,1,0,0,1,0,0,0,0
417,296158,265,5,0,0,0,0,0,0,1,0
418,296158,265,8,3,0,0,1,0,0,0,0
419,296158,265,7,0,0,0,0,0,0,0,1
420,281606,400,0,0,0,0,0,0,0,0,1
421,281606,400,0,0,0,0,0,0,0,0,1
422,281606,400,0,0,0,0,0,0,0,0,1
423,281606,400,0,4,0,0,0,1,0,0,0
424,281606,400,1,2,0,0,1,0,0,0,0
425,281606,400,0,0,0,0,1,0,0,0,0
426,281606,400,2,0,0,0,1,0,0,0,0
427,281606,400,1,0,0,0,0,0,1,0,0
428,281606,400,0,0,1,0,0,0,1,0,0
429,281606,400,4,0,0,0,0,0,0,1,0
430,281606,400,0,0,0,0,0,0,0,0,1
431,281606,400,5,0,0,1,0,0,0,0,0
432,281606,400,1,0,0,1,0,0,0,0,0
433,281606,400,4,0,0,1,0,0,0,0,0
